fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
40121,1294,184,Micropolitan,0.14219474497681608,Pittsburg,Oklahoma
40123,954,160,Micropolitan,0.16771488469601678,Pontotoc,Oklahoma
40125,1870,246,Micropolitan,0.13155080213903744,Pottawatomie,Oklahoma
40131,1511,132,Medium metro,0.08735936465916612,Rogers,Oklahoma
40137,1114,169,Micropolitan,0.15170556552962297,Stephens,Oklahoma
40143,19292,3159,Medium metro,0.1637466307277628,Tulsa,Oklahoma
40147,1618,280,Micropolitan,0.173053152039555,Washington,Oklahoma
41005,7245,392,Large fringe metro,0.05410628019323672,Clackamas,Oregon
41017,3734,343,Small metro,0.09185859667916443,Deschutes,Oregon
41019,3276,245,Micropolitan,0.07478632478632478,Douglas,Oregon
41029,5463,380,Small metro,0.06955885044847153,Jackson,Oregon
41033,2589,220,Small metro,0.08497489378138277,Josephine,Oregon
41035,1787,151,Micropolitan,0.08449916060436485,Klamath,Oregon
41039,8587,386,Medium metro,0.04495167113077909,Lane,Oregon
41043,2822,123,Small metro,0.04358610914245216,Linn,Oregon
41047,6252,507,Medium metro,0.08109404990403071,Marion,Oregon
41051,15167,1267,Large central metro,0.08353662556866882,Multnomah,Oregon
41059,1290,109,Micropolitan,0.08449612403100776,Umatilla,Oregon
41067,7730,548,Large fringe metro,0.07089262613195343,Washington,Oregon
41071,1948,111,Large fringe metro,0.056981519507186856,Yamhill,Oregon
42001,1795,182,Small metro,0.10139275766016713,Adams,Pennsylvania
42003,36212,3643,Large central metro,0.10060201038329836,Allegheny,Pennsylvania
42005,1368,154,Large fringe metro,0.11257309941520467,Armstrong,Pennsylvania
42007,4032,469,Large fringe metro,0.11631944444444445,Beaver,Pennsylvania
42011,8471,1148,Medium metro,0.1355211899421556,Berks,Pennsylvania
42013,4294,620,Small metro,0.14438751746623196,Blair,Pennsylvania
42015,2047,246,Micropolitan,0.12017586712261846,Bradford,Pennsylvania
42017,12745,1406,Large fringe metro,0.11031777167516674,Bucks,Pennsylvania
42019,4306,577,Large fringe metro,0.13399907106363215,Butler,Pennsylvania
42021,3890,563,Small metro,0.14473007712082261,Cambria,Pennsylvania
42025,1307,140,Medium metro,0.10711553175210406,Carbon,Pennsylvania
42027,2329,284,Small metro,0.12194074710176041,Centre,Pennsylvania
42029,8812,1044,Large fringe metro,0.11847480708125284,Chester,Pennsylvania
42031,822,118,Noncore,0.1435523114355231,Clarion,Pennsylvania
42033,2113,275,Micropolitan,0.13014671083767157,Clearfield,Pennsylvania
42039,1985,224,Micropolitan,0.1128463476070529,Crawford,Pennsylvania
42041,5771,833,Medium metro,0.14434240166348986,Cumberland,Pennsylvania
42043,7540,981,Medium metro,0.13010610079575596,Dauphin,Pennsylvania
42045,10781,1440,Large fringe metro,0.13356831462758556,Delaware,Pennsylvania
42049,7367,794,Medium metro,0.10777792860051581,Erie,Pennsylvania
42051,3096,399,Large fringe metro,0.12887596899224807,Fayette,Pennsylvania
42055,3588,526,Small metro,0.14659977703455965,Franklin,Pennsylvania
42061,817,118,Micropolitan,0.14443084455324356,Huntingdon,Pennsylvania
42063,1793,245,Micropolitan,0.13664249860568878,Indiana,Pennsylvania
42065,979,136,Noncore,0.13891726251276812,Jefferson,Pennsylvania
42069,6339,647,Medium metro,0.10206657201451333,Lackawanna,Pennsylvania
42071,11262,1408,Medium metro,0.12502219854377553,Lancaster,Pennsylvania
42073,2238,266,Micropolitan,0.11885612153708669,Lawrence,Pennsylvania
42075,3122,302,Small metro,0.09673286354900705,Lebanon,Pennsylvania
42077,11063,1662,Medium metro,0.150230498056585,Lehigh,Pennsylvania
42079,8723,1028,Medium metro,0.11784936375100309,Luzerne,Pennsylvania
